RSSI,Distance,Visibility
-63,3.0,los
-63,3.0,los
-63,3.0,los
-67,3.0,los
-61,3.0,los
-64,3.0,los
-60,3.0,los
-64,3.0,los
-68,3.0,los
-60,3.0,los
-71,3.0,los
-61,3.0,los
-64,3.0,los
-71,3.0,los
-63,3.0,los
-64,3.0,los
-71,3.0,los
-61,3.0,los
-69,3.0,los
-69,3.0,los
-62,3.0,los
-65,3.0,los
-69,3.0,los
-69,3.0,los
-69,3.0,los
-61,3.0,los
-65,3.0,los
-61,3.0,los
-69,3.0,los
-61,3.0,los
-66,3.0,los
-69,3.0,los
-63,3.0,los
-62,3.0,los
-68,3.0,los
-61,3.0,los
-65,3.0,los
-69,3.0,los
-63,3.0,los
-66,3.0,los
-69,3.0,los
-66,3.0,los
-64,3.0,los
-65,3.0,los
-69,3.0,los
-62,3.0,los
-65,3.0,los
-61,3.0,los
-69,3.0,los
-66,3.0,los
-69,3.0,los
-65,3.0,los
-69,3.0,los
-71,3.0,los
-62,3.0,los
-66,3.0,los
-61,3.0,los
-66,3.0,los
-63,3.0,los
-70,3.0,los
-62,3.0,los
-62,3.0,los
-69,3.0,los
-66,3.0,los
-69,3.0,los
-61,3.0,los
-68,3.0,los
-68,3.0,los
-64,3.0,los
-65,3.0,los
-63,3.0,los
-65,3.0,los
-68,3.0,los
-65,3.0,los
-69,3.0,los
-63,3.0,los
-66,3.0,los
-66,3.0,los
-64,3.0,los
-65,3.0,los
-69,3.0,los
-63,3.0,los
-69,3.0,los
-69,3.0,los
-61,3.0,los
-65,3.0,los
-69,3.0,los
-61,3.0,los
-69,3.0,los
-65,3.0,los
-61,3.0,los
-66,3.0,los
-62,3.0,los
-65,3.0,los
-69,3.0,los
-65,3.0,los
-70,3.0,los
-69,3.0,los
-63,3.0,los
-66,3.0,los
-70,3.0,los
-69,3.0,los
-62,3.0,los
-70,3.0,los
-66,3.0,los
-66,3.0,los
-66,3.0,los
-63,3.0,los
-65,3.0,los
-70,3.0,los
-62,3.0,los
-66,3.0,los
-70,3.0,los
-66,3.0,los
-70,3.0,los
-66,3.0,los
-61,3.0,los
-65,3.0,los
-61,3.0,los
-66,3.0,los
-70,3.0,los
-64,3.0,los
-66,3.0,los
-70,3.0,los
-66,3.0,los
-69,3.0,los
-96,3.0,los
-70,3.0,los
-61,3.0,los
-65,3.0,los
-63,3.0,los
-65,3.0,los
-66,3.0,los
-67,3.0,los
-62,3.0,los
-66,3.0,los
-68,3.0,los
-63,3.0,los
-65,3.0,los
-68,3.0,los
-65,3.0,los
-69,3.0,los
-65,3.0,los
-65,3.0,los
-67,3.0,los
-63,3.0,los
-69,3.0,los
-63,3.0,los
-65,3.0,los
-61,3.0,los
-65,3.0,los
-65,3.0,los
-69,3.0,los
-63,3.0,los
-65,3.0,los
-69,3.0,los
-63,3.0,los
-65,3.0,los
-69,3.0,los
-64,3.0,los
-65,3.0,los
-66,3.0,los
-71,3.0,los
-66,3.0,los
-71,3.0,los
-71,3.0,los
-66,3.0,los
-70,3.0,los
-65,3.0,los
-63,3.0,los
-65,3.0,los
-63,3.0,los
-65,3.0,los
-71,3.0,los
-62,3.0,los
-66,3.0,los
-73,3.0,los
-63,3.0,los
-70,3.0,los
-66,3.0,los
-65,3.0,los
-62,3.0,los
-70,3.0,los
-63,3.0,los
-65,3.0,los
-65,3.0,los
-69,3.0,los
-70,3.0,los
-63,3.0,los
-66,3.0,los
-69,3.0,los
-66,3.0,los
-70,3.0,los
-66,3.0,los
-70,3.0,los
-63,3.0,los
-65,3.0,los
-70,3.0,los
-63,3.0,los
-65,3.0,los
-66,3.0,los
-63,3.0,los
-65,3.0,los
-70,3.0,los
-62,3.0,los
-65,3.0,los
-65,3.0,los
-62,3.0,los
-69,3.0,los
-59,3.0,los
-65,3.0,los
-69,3.0,los
-67,3.0,los
-58,3.0,los
-65,3.0,los
-68,3.0,los
-59,3.0,los
-63,3.0,los
-68,3.0,los
-62,3.0,los
-63,3.0,los
-65,3.0,los
-63,3.0,los
-65,3.0,los
-60,3.0,los
-65,3.0,los
-70,3.0,los
-59,3.0,los
-66,3.0,los
-65,3.0,los
-60,3.0,los
-69,3.0,los
-63,3.0,los
-64,3.0,los
-70,3.0,los
-61,3.0,los
-68,3.0,los
-59,3.0,los
-64,3.0,los
-67,3.0,los
-61,3.0,los
-65,3.0,los
-66,3.0,los
-61,3.0,los
-61,3.0,los
-66,3.0,los
-62,3.0,los
-67,3.0,los
-64,3.0,los
-71,3.0,los
-64,3.0,los
-71,3.0,los
-59,3.0,los
-61,3.0,los
-64,3.0,los
-66,3.0,los
-66,3.0,los
-67,3.0,los
-69,3.0,los
-65,3.0,los
-60,3.0,los
-65,3.0,los
-60,3.0,los
-65,3.0,los
-59,3.0,los
-65,3.0,los
-66,3.0,los
-66,3.0,los
-61,3.0,los
-66,3.0,los
-68,3.0,los
-63,3.0,los
-66,3.0,los
-66,3.0,los
-62,3.0,los
-64,3.0,los
-65,3.0,los
-66,3.0,los
-61,3.0,los
-65,3.0,los
