RSSI,Distance,Visibility
-39,0.5,los
-40,0.5,los
-38,0.5,los
-82,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-41,0.5,los
-41,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-41,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-40,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-38,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-42,0.5,los
-40,0.5,los
-47,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-40,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-37,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-78,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-37,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-38,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-41,0.5,los
-38,0.5,los
-38,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-37,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-37,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-38,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-40,0.5,los
-38,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-37,0.5,los
-39,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-40,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-44,0.5,los
-40,0.5,los
-39,0.5,los
-38,0.5,los
-39,0.5,los
-39,0.5,los
-39,0.5,los
-38,0.5,los
