RSSI,Distance,Visibility
-54,1.0,nlos
-55,1.0,nlos
-54,1.0,nlos
-59,1.0,nlos
-54,1.0,nlos
-59,1.0,nlos
-54,1.0,nlos
-54,1.0,nlos
-58,1.0,nlos
-53,1.0,nlos
-54,1.0,nlos
-56,1.0,nlos
-54,1.0,nlos
-53,1.0,nlos
-53,1.0,nlos
-67,1.0,nlos
-52,1.0,nlos
-53,1.0,nlos
-59,1.0,nlos
-54,1.0,nlos
-53,1.0,nlos
-61,1.0,nlos
-66,1.0,nlos
-53,1.0,nlos
-55,1.0,nlos
-54,1.0,nlos
-58,1.0,nlos
-55,1.0,nlos
-59,1.0,nlos
-54,1.0,nlos
-58,1.0,nlos
-53,1.0,nlos
-52,1.0,nlos
-54,1.0,nlos
-52,1.0,nlos
-58,1.0,nlos
-54,1.0,nlos
-66,1.0,nlos
-57,1.0,nlos
-54,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-54,1.0,nlos
-58,1.0,nlos
-59,1.0,nlos
-56,1.0,nlos
-54,1.0,nlos
-53,1.0,nlos
-59,1.0,nlos
-51,1.0,nlos
-55,1.0,nlos
-67,1.0,nlos
-71,1.0,nlos
-63,1.0,nlos
-57,1.0,nlos
-55,1.0,nlos
-57,1.0,nlos
-58,1.0,nlos
-55,1.0,nlos
-54,1.0,nlos
-59,1.0,nlos
-54,1.0,nlos
-54,1.0,nlos
-60,1.0,nlos
-56,1.0,nlos
-54,1.0,nlos
-60,1.0,nlos
-54,1.0,nlos
-48,1.0,nlos
-53,1.0,nlos
-60,1.0,nlos
-56,1.0,nlos
-51,1.0,nlos
-55,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-52,1.0,nlos
-52,1.0,nlos
-58,1.0,nlos
-55,1.0,nlos
-58,1.0,nlos
-57,1.0,nlos
-58,1.0,nlos
-62,1.0,nlos
-56,1.0,nlos
-57,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-51,1.0,nlos
-56,1.0,nlos
-57,1.0,nlos
-54,1.0,nlos
-63,1.0,nlos
-54,1.0,nlos
-59,1.0,nlos
-55,1.0,nlos
-60,1.0,nlos
-55,1.0,nlos
-54,1.0,nlos
-54,1.0,nlos
-56,1.0,nlos
-53,1.0,nlos
-62,1.0,nlos
-57,1.0,nlos
-60,1.0,nlos
-50,1.0,nlos
-58,1.0,nlos
-70,1.0,nlos
-58,1.0,nlos
-58,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-53,1.0,nlos
-64,1.0,nlos
-53,1.0,nlos
-58,1.0,nlos
-56,1.0,nlos
-54,1.0,nlos
-53,1.0,nlos
-58,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-56,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-55,1.0,nlos
-54,1.0,nlos
-56,1.0,nlos
-52,1.0,nlos
-57,1.0,nlos
-54,1.0,nlos
-57,1.0,nlos
-53,1.0,nlos
-56,1.0,nlos
-52,1.0,nlos
-59,1.0,nlos
-56,1.0,nlos
-53,1.0,nlos
-60,1.0,nlos
-56,1.0,nlos
-52,1.0,nlos
-58,1.0,nlos
-59,1.0,nlos
-52,1.0,nlos
-70,1.0,nlos
-57,1.0,nlos
-52,1.0,nlos
-60,1.0,nlos
-46,1.0,nlos
-50,1.0,nlos
-44,1.0,nlos
-62,1.0,nlos
-59,1.0,nlos
-66,1.0,nlos
-65,1.0,nlos
-53,1.0,nlos
-54,1.0,nlos
-56,1.0,nlos
-52,1.0,nlos
-57,1.0,nlos
-55,1.0,nlos
-53,1.0,nlos
-55,1.0,nlos
-57,1.0,nlos
-57,1.0,nlos
-53,1.0,nlos
-57,1.0,nlos
-54,1.0,nlos
-60,1.0,nlos
-55,1.0,nlos
-59,1.0,nlos
-56,1.0,nlos
-54,1.0,nlos
-59,1.0,nlos
-54,1.0,nlos
-52,1.0,nlos
-59,1.0,nlos
-55,1.0,nlos
-51,1.0,nlos
-63,1.0,nlos
-51,1.0,nlos
