RSSI,Distance,Visibility
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-36,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-74,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-36,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-40,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-44,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-40,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-40,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-40,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-39,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-39,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-38,0.5,nlos
-37,0.5,nlos
-38,0.5,nlos
-104,0.5,nlos
