RSSI,Distance
-51,2.0,nlos
-46,2.0,nlos
-55,2.0,nlos
-50,2.0,nlos
-55,2.0,nlos
-47,2.0,nlos
-56,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-55,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-55,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-51,2.0,nlos
-51,2.0,nlos
-57,2.0,nlos
-48,2.0,nlos
-56,2.0,nlos
-51,2.0,nlos
-48,2.0,nlos
-57,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-56,2.0,nlos
-50,2.0,nlos
-48,2.0,nlos
-50,2.0,nlos
-50,2.0,nlos
-51,2.0,nlos
-49,2.0,nlos
-57,2.0,nlos
-52,2.0,nlos
-51,2.0,nlos
-56,2.0,nlos
-52,2.0,nlos
-60,2.0,nlos
-50,2.0,nlos
-57,2.0,nlos
-50,2.0,nlos
-54,2.0,nlos
-51,2.0,nlos
-50,2.0,nlos
-56,2.0,nlos
-50,2.0,nlos
-50,2.0,nlos
-56,2.0,nlos
-49,2.0,nlos
-50,2.0,nlos
-56,2.0,nlos
-50,2.0,nlos
-50,2.0,nlos
-51,2.0,nlos
-48,2.0,nlos
-54,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-54,2.0,nlos
-49,2.0,nlos
-48,2.0,nlos
-53,2.0,nlos
-47,2.0,nlos
-46,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-54,2.0,nlos
-49,2.0,nlos
-45,2.0,nlos
-53,2.0,nlos
-50,2.0,nlos
-48,2.0,nlos
-54,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-54,2.0,nlos
-48,2.0,nlos
-45,2.0,nlos
-54,2.0,nlos
-46,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-45,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-52,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-50,2.0,nlos
-51,2.0,nlos
-50,2.0,nlos
-52,2.0,nlos
-49,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-43,2.0,nlos
-50,2.0,nlos
-55,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-48,2.0,nlos
-46,2.0,nlos
-53,2.0,nlos
-48,2.0,nlos
-50,2.0,nlos
-53,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-48,2.0,nlos
-54,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-48,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-54,2.0,nlos
-50,2.0,nlos
-57,2.0,nlos
-56,2.0,nlos
-54,2.0,nlos
-60,2.0,nlos
-57,2.0,nlos
-67,2.0,nlos
-57,2.0,nlos
-63,2.0,nlos
-48,2.0,nlos
-48,2.0,nlos
-43,2.0,nlos
-44,2.0,nlos
-58,2.0,nlos
-57,2.0,nlos
-56,2.0,nlos
-69,2.0,nlos
-58,2.0,nlos
-57,2.0,nlos
-63,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-52,2.0,nlos
-48,2.0,nlos
-54,2.0,nlos
-49,2.0,nlos
-54,2.0,nlos
-48,2.0,nlos
-53,2.0,nlos
-51,2.0,nlos
-49,2.0,nlos
-57,2.0,nlos
-53,2.0,nlos
-73,2.0,nlos
-47,2.0,nlos
-52,2.0,nlos
-44,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-45,2.0,nlos
-53,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-55,2.0,nlos
-48,2.0,nlos
-45,2.0,nlos
-49,2.0,nlos
-48,2.0,nlos
-44,2.0,nlos
-53,2.0,nlos
-46,2.0,nlos
-49,2.0,nlos
-45,2.0,nlos
-53,2.0,nlos
-45,2.0,nlos
-46,2.0,nlos
-51,2.0,nlos
-50,2.0,nlos
-49,2.0,nlos
-47,2.0,nlos
-49,2.0,nlos
-50,2.0,nlos
-55,2.0,nlos
-64,2.0,nlos
-54,2.0,nlos
-73,2.0,nlos
-63,2.0,nlos
-45,2.0,nlos
-52,2.0,nlos
-48,2.0,nlos
-49,2.0,nlos
-53,2.0,nlos
-49,2.0,nlos
-50,2.0,nlos
-56,2.0,nlos
-49,2.0,nlos
-49,2.0,nlos
-54,2.0,nlos
