RSSI,Distance,Visibility
-59,2.5,los
-57,2.5,los
-58,2.5,los
-54,2.5,los
-57,2.5,los
-54,2.5,los
-58,2.5,los
-57,2.5,los
-53,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-57,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-59,2.5,los
-57,2.5,los
-59,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-59,2.5,los
-59,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-53,2.5,los
-59,2.5,los
-57,2.5,los
-60,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-53,2.5,los
-59,2.5,los
-57,2.5,los
-59,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-54,2.5,los
-54,2.5,los
-58,2.5,los
-60,2.5,los
-58,2.5,los
-58,2.5,los
-54,2.5,los
-57,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-55,2.5,los
-57,2.5,los
-57,2.5,los
-53,2.5,los
-54,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-57,2.5,los
-60,2.5,los
-58,2.5,los
-60,2.5,los
-55,2.5,los
-54,2.5,los
-58,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-58,2.5,los
-59,2.5,los
-59,2.5,los
-57,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-62,2.5,los
-54,2.5,los
-57,2.5,los
-57,2.5,los
-59,2.5,los
-57,2.5,los
-59,2.5,los
-57,2.5,los
-58,2.5,los
-55,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-60,2.5,los
-58,2.5,los
-59,2.5,los
-58,2.5,los
-58,2.5,los
-54,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-54,2.5,los
-59,2.5,los
-59,2.5,los
-59,2.5,los
-58,2.5,los
-54,2.5,los
-59,2.5,los
-59,2.5,los
-57,2.5,los
-58,2.5,los
-57,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-54,2.5,los
-57,2.5,los
-54,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-53,2.5,los
-58,2.5,los
-59,2.5,los
-59,2.5,los
-54,2.5,los
-57,2.5,los
-62,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-53,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-53,2.5,los
-57,2.5,los
-59,2.5,los
-53,2.5,los
-58,2.5,los
-58,2.5,los
-54,2.5,los
-57,2.5,los
-59,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-53,2.5,los
-58,2.5,los
-57,2.5,los
-53,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-55,2.5,los
-58,2.5,los
-57,2.5,los
-54,2.5,los
-58,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-58,2.5,los
-53,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-54,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-59,2.5,los
-53,2.5,los
-57,2.5,los
-58,2.5,los
-53,2.5,los
-58,2.5,los
-62,2.5,los
-53,2.5,los
-58,2.5,los
-53,2.5,los
-58,2.5,los
-53,2.5,los
-58,2.5,los
-53,2.5,los
-52,2.5,los
-59,2.5,los
-57,2.5,los
-57,2.5,los
-55,2.5,los
-57,2.5,los
-56,2.5,los
-54,2.5,los
-58,2.5,los
-56,2.5,los
-59,2.5,los
-56,2.5,los
-57,2.5,los
-58,2.5,los
-56,2.5,los
-56,2.5,los
-55,2.5,los
-57,2.5,los
-57,2.5,los
-55,2.5,los
-60,2.5,los
-58,2.5,los
-55,2.5,los
-57,2.5,los
-55,2.5,los
-56,2.5,los
-57,2.5,los
-54,2.5,los
-57,2.5,los
-57,2.5,los
-56,2.5,los
-57,2.5,los
-57,2.5,los
-55,2.5,los
-57,2.5,los
-60,2.5,los
-55,2.5,los
-57,2.5,los
-59,2.5,los
-55,2.5,los
-58,2.5,los
-56,2.5,los
-57,2.5,los
-61,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-55,2.5,los
-58,2.5,los
-59,2.5,los
-59,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-58,2.5,los
-55,2.5,los
-58,2.5,los
-55,2.5,los
-57,2.5,los
-55,2.5,los
-59,2.5,los
-58,2.5,los
-54,2.5,los
-58,2.5,los
-59,2.5,los
-55,2.5,los
-79,2.5,los
